,date,team_id,team_points_total,3P%,3P_made,FG%,FG_made,Total_Reb,team_Ast,WinPct
197,2007-11-14,13,84,0.25,5,0.36470588235294116,31,46,21,71.42857142857143
198,2007-11-14,11,90,0.35,7,0.35294117647058826,30,43,18,66.66666666666666
199,2007-11-14,10,104,0.38235294117647056,13,0.4105263157894737,39,44,24,0.0
200,2007-11-14,8,110,0.07692307692307693,1,0.525,42,46,25,66.66666666666666
201,2007-11-14,6,116,0.4375,7,0.45454545454545453,45,50,25,44.44444444444444
202,2007-11-14,2,91,0.25,3,0.4647887323943662,33,42,21,100.0
203,2007-11-14,1,117,0.5,3,0.5974025974025974,46,38,29,42.85714285714285
204,2007-11-15,24,112,0.4166666666666667,10,0.5061728395061729,41,40,29,77.77777777777779
205,2007-11-15,7,105,0.4375,7,0.5205479452054794,38,41,20,75.0
206,2007-11-16,28,110,0.5217391304347826,12,0.4691358024691358,38,35,26,55.55555555555556
207,2007-11-16,27,90,0.5625,9,0.4861111111111111,35,40,20,80.0
208,2007-11-16,26,123,0.4375,7,0.47674418604651164,41,46,18,33.33333333333333
209,2007-11-16,23,92,0.375,3,0.5068493150684932,37,43,19,33.33333333333333
210,2007-11-16,3,70,0.18181818181818182,2,0.2976190476190476,25,51,21,44.44444444444444
211,2007-11-16,18,89,0.3888888888888889,7,0.4189189189189189,31,36,13,14.285714285714285
212,2007-11-16,15,118,0.625,15,0.5054945054945055,46,38,20,25.0
213,2007-11-16,14,103,0.375,9,0.38461538461538464,35,45,20,62.5
214,2007-11-16,10,122,0.3684210526315789,7,0.5,45,52,28,14.285714285714285
215,2007-11-16,6,99,0.21428571428571427,3,0.4166666666666667,35,48,21,50.0
216,2007-11-16,2,92,0.35714285714285715,5,0.49295774647887325,35,40,29,100.0
217,2007-11-16,1,123,0.2608695652173913,6,0.45454545454545453,45,47,24,37.5
218,2007-11-17,30,109,0.36363636363636365,8,0.449438202247191,40,42,26,44.44444444444444
219,2007-11-17,3,87,0.3,3,0.46551724137931033,27,39,23,40.0
220,2007-11-17,18,82,0.3333333333333333,5,0.4189189189189189,31,44,18,12.5
221,2007-11-17,17,105,0.4166666666666667,5,0.5232558139534884,45,44,27,50.0
222,2007-11-17,13,73,0.2857142857142857,4,0.39436619718309857,28,40,19,55.55555555555556
223,2007-11-17,12,117,0.4782608695652174,11,0.5789473684210527,44,35,29,40.0
224,2007-11-17,11,105,0.42857142857142855,9,0.3925233644859813,42,40,22,54.54545454545454
225,2007-11-17,8,115,0.4230769230769231,11,0.48863636363636365,43,51,32,70.0
226,2007-11-17,7,108,0.25,2,0.47560975609756095,39,46,19,77.77777777777779
227,2007-11-17,4,100,0.47619047619047616,10,0.43820224719101125,39,60,23,55.55555555555556
228,2007-11-18,28,100,0.18181818181818182,4,0.43478260869565216,40,46,18,50.0
229,2007-11-18,26,105,0.3125,5,0.47297297297297297,35,39,22,40.0
230,2007-11-18,22,104,0.28,7,0.5076923076923077,33,28,14,81.81818181818183
231,2007-11-18,14,106,0.47058823529411764,8,0.45569620253164556,36,51,23,66.66666666666666
232,2007-11-19,29,102,0.4,4,0.5223880597014925,35,43,20,66.66666666666666
233,2007-11-19,19,88,0.23529411764705882,4,0.43373493975903615,36,36,19,75.0
234,2007-11-19,15,125,0.5333333333333333,8,0.5581395348837209,48,35,33,30.0
235,2007-11-19,4,101,0.3333333333333333,5,0.46987951807228917,39,39,21,60.0
236,2007-11-20,30,116,0.4375,7,0.573170731707317,47,41,29,50.0
